"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000002745",1.73341443680908,2.26276739125215,11.6920574303899,0.000659644341634328,0.000881881823310019,"+","ENSG00000002745"
"ENSG00000215559",1.73277411967274,1.3255474315333,20.1082827292179,8.39477450137705e-06,1.24720167082515e-05,"+","ENSG00000215559"
"ENSG00000125637",1.73163962036487,6.72365545841593,177.499608778347,1.06595707622697e-36,5.44347068914647e-36,"+","ENSG00000125637"
"ENSG00000159200",1.73144692619585,6.61779650559373,94.4191707019856,3.63119099668352e-21,1.03420400291847e-20,"+","ENSG00000159200"
"ENSG00000188385",1.73090420658076,1.53433749466091,57.8460086381805,8.00751569207208e-14,1.72029012616436e-13,"+","ENSG00000188385"
"ENSG00000120594",1.73034469559031,5.03151466589252,34.2975246381524,6.91906422792357e-09,1.200933352348e-08,"+","ENSG00000120594"
"ENSG00000104889",1.73020031110414,4.88180829551863,183.666687730836,8.52016373977157e-38,4.54969731223357e-37,"+","ENSG00000104889"
"ENSG00000109756",1.7296750472299,7.554971454459,193.330504259407,1.67959032138733e-39,9.51303536024529e-39,"+","ENSG00000109756"
"ENSG00000160447",1.72963228481087,3.43211304286369,125.26369596352,4.1849594881408e-27,1.50218628819129e-26,"+","ENSG00000160447"
"ENSG00000138606",1.72829751683118,2.76434080378516,196.303475617964,5.05874336821987e-40,2.92132861353008e-39,"+","ENSG00000138606"
"ENSG00000106624",1.72747151098511,7.50662761537305,65.6586843117233,2.01622033521375e-15,4.62234541868086e-15,"+","ENSG00000106624"
"ENSG00000162664",1.72728542581424,7.32528261083548,366.106996917361,2.03218426903322e-67,2.99314677354995e-66,"+","ENSG00000162664"
"ENSG00000136636",1.7264033962228,5.7058176861225,125.159735840975,4.37872606196246e-27,1.57086948797415e-26,"+","ENSG00000136636"
"ENSG00000213203",1.72256934493025,3.82998626238865,82.8551991259717,6.98634657671949e-19,1.83215103434746e-18,"+","ENSG00000213203"
"ENSG00000124177",1.72232379590737,7.97967178955668,179.716213498083,4.29064964060289e-37,2.22969442276585e-36,"+","ENSG00000124177"
"ENSG00000187479",1.71853895747614,2.28361465800998,31.8605381333385,2.30471672124207e-08,3.89908789763195e-08,"+","ENSG00000187479"
"ENSG00000205639",1.71826651083384,1.65006870275513,51.2021195249284,1.89466110931226e-12,3.84202571564867e-12,"+","ENSG00000205639"
"ENSG00000003400",1.71778959278249,5.94030330951282,291.517017639246,6.3918026932033e-56,6.36531325763668e-55,"+","ENSG00000003400"
"ENSG00000162139",1.71663324870147,5.12149217364667,390.546398197006,5.03931819417718e-71,8.39411975451132e-70,"+","ENSG00000162139"
"ENSG00000106443",1.71651498086703,6.9552980187179,309.724900481267,8.4526910110544e-59,9.27152312421318e-58,"+","ENSG00000106443"
"ENSG00000132359",1.71628046303404,6.80700767760822,146.223314047258,5.07738189653541e-31,2.11641848665093e-30,"+","ENSG00000132359"
"ENSG00000071539",1.71609996869808,3.60555528922697,177.186988220445,1.21214345478246e-36,6.17056628844929e-36,"+","ENSG00000071539"
"ENSG00000111885",1.71494286938207,7.78642699246418,91.6967694638886,1.24404024911648e-20,3.46930287395992e-20,"+","ENSG00000111885"
"ENSG00000184307",1.71321053702099,4.11418772055626,120.859542532382,2.86076070648654e-26,9.92811739164731e-26,"+","ENSG00000184307"
"ENSG00000092964",1.71308708665156,7.7150093199893,180.841822321783,2.70509800687387e-37,1.41823643382608e-36,"+","ENSG00000092964"
"ENSG00000126882",1.71285804905574,5.34720370741402,119.785752292688,4.57782225946125e-26,1.57731868398219e-25,"+","ENSG00000126882"
"ENSG00000170293",1.71283475803222,3.54702078137448,42.4734847846071,1.27136123312148e-10,2.3822647452685e-10,"+","ENSG00000170293"
"ENSG00000090975",1.71152047384362,6.20157713496841,55.8258888909196,2.08858867345471e-13,4.41177382821883e-13,"+","ENSG00000090975"
